time,reanalysis,xgboost,cnn,naive,lstm
2017-12-19,216.9826608054087,281.0955505371094,311.0238342285156,301.8414973769644,308.9708251953125
2017-12-20,302.2164700251588,293.77020263671875,289.0371398925781,304.55643410432765,302.6719665527344
2017-12-21,298.1921914077781,321.75445556640625,294.73291015625,291.29896781341574,307.85589599609375
2017-12-22,328.4352033723952,306.1800537109375,292.65753173828125,282.23502010473146,294.8236083984375
2017-12-23,193.75613000586077,241.08071899414062,213.93699645996094,242.40159016701304,224.9195556640625
2017-12-24,351.7118909704606,356.4091491699219,340.6907653808594,337.13036269439306,347.45404052734375
2017-12-25,383.1290670538217,370.186767578125,372.14501953125,354.92978838337456,372.5532531738281
2017-12-26,378.9089591953713,357.5531921386719,358.3793640136719,358.2310182942341,360.9034729003906
2017-12-27,332.18529853827835,330.3314514160156,351.4349670410156,335.3281739802145,336.800537109375
2017-12-28,284.05119345324385,295.9334411621094,309.2126159667969,296.84034080579784,298.77471923828125
2017-12-29,355.2320866241549,336.90313720703125,299.0029602050781,319.2598649360474,327.05645751953125
2017-12-30,340.3378429958912,351.67047119140625,300.4812316894531,313.2364395600247,330.3286437988281
2017-12-31,268.5672505131346,286.69354248046875,258.3160095214844,313.7573528386687,282.1168212890625
2018-01-01,224.663662396836,208.39361572265625,217.997314453125,269.2092377541578,233.71994018554688
2018-01-02,339.9604371264141,312.33819580078125,303.9712829589844,332.9862918942929,313.1432800292969
2018-01-03,370.408886745262,355.71673583984375,326.98944091796875,332.0430637519096,339.90826416015625
2018-01-04,360.8959851193999,355.84661865234375,328.0627746582031,349.86670348264147,340.3035888671875
2018-01-05,328.19303071434507,310.7903747558594,289.5462341308594,320.91045746797704,302.1462707519531
2018-01-06,356.4626220751822,309.6941833496094,262.3632507324219,310.5736397060484,277.29156494140625
2018-01-07,372.520338158125,369.69122314453125,316.8099670410156,351.3274261589106,357.92218017578125
2018-01-08,375.5332235369765,368.2139587402344,310.8749694824219,343.14197272669685,347.3427734375
